Nunca	ADV	nunca
antes	ADV	antes
se	SE	se
había	VHfin	haber
logrado	VLadj	lograr
avanzar	VLinf	avanzar
tanto	ADV	tanto
en	PREP	en
una	ART	un
negociación	NC	negociación
con	PREP	con
las	ART	el
Farc	NP	<unknown>
.	FS	.
En	PREP	en
los	ART	el
mil	CARD	mil
días	NC	día
de	PREP	de
negociación	NC	negociación
que	CQUE	que
se	SE	se
cumplen	VLfin	cumplir
hoy	ADV	hoy
contando	VLger	contar
desde	PREP	desde
el	ART	el
18	CARD	@card@
de	PREP	de
octubre	NMON	octubre
de	PREP	de
2012	CARD	@card@
cuando	CSUBX	cuando
se	SE	se
anunció	VLfin	anunciar
la	ART	el
instalación	NC	instalación
de	PREP	de
la	ART	el
mesa	NC	mesa
,	CM	,
se	SE	se
han	VHfin	haber
acordado	VLadj	acordar
tres	CARD	tres
puntos	NC	punto
de	PREP	de
los	ART	el
cinco	CARD	cinco
planteados	VLadj	plantear
.	FS	.
Además	ADV	además
,	CM	,
se	SE	se
han	VHfin	haber
logrado	VLadj	lograr
acuerdos	NC	acuerdo
parciales	ADJ	parcial
en	PREP	en
temas	NC	tema
cruciales	ADJ	crucial
como	CSUBX	como
el	ART	el
reclutamiento	NC	reclutamiento
infantil	ADJ	infantil
y	CC	y
el	ART	el
desminado	VLadj	<unknown>
.	FS	.
Como	CSUBX	como
lo	PPC	él
escribió	VLfin	escribir
en	PREP	en
exclusiva	ADJ	exclusivo
para	PREP	para
este	DM	este
informe	NC	informe
el	ART	el
jefe	NC	jefe
negociador	ADJ	negociador
del	PDEL	del
Gobierno	NC	gobierno
en	PREP	en
La	ART	el
Habana	NP	Habana
,	CM	,
Humberto	NP	Humberto
de	PREP	de
la	ART	el
Calle	NC	calle
,	CM	,
'	QT	'
Colombia	NP	Colombia
se	SE	se
merece	VLfin	merecer
pasar	VLinf	pasar
la	ART	el
página	NC	página
de	PREP	de
violencia	NC	violencia
.	FS	.
Es	VSfin	ser
injusto	ADJ	injusto
que	CQUE	que
generaciones	NC	generación
enteras	ADJ	entero
no	NEG	no
conozcan	VLfin	conocer
un	ART	un
día	NC	día
de	PREP	de
paz	NC	paz
.	FS	.
La	ART	el
sociedad	NC	sociedad
colombiana	ADJ	colombiano
ha	VHfin	haber
sido	VSadj	ser
golpeada	VLadj	golpear
en	PREP	en
campos	NC	campo
y	CC	y
ciudades	NC	ciudad
por	PREP	por
fenómenos	NC	fenómeno
violentos	ADJ	violento
que	CQUE	que
nos	PPX	nosotros
han	VHfin	haber
dejado	VLadj	dejar
cicatrices	NC	cicatriz
imborrables	ADJ	imborrable
.	FS	.
Es	VSfin	ser
tiempo	NC	tiempo
de	CSUBI	de
parar	VLinf	parar
y	CC	y
de	PREP	de
transformarnos	NC	<unknown>
'	QT	'
.	FS	.
Para	CSUBI	para
cumplir	VLinf	cumplir
esa	DM	ese
premisa	NC	premisa
,	CM	,
desde	PREP	desde
el	ART	el
2011	CARD	@card@
,	CM	,
Gobierno	NP	<unknown>
y	CC	y
Farc	NP	<unknown>
buscaron	VLfin	buscar
acercamientos	NC	acercamiento
que	CQUE	que
los	PPC	él
llevaran	VLfin	llevar
a	PREP	a
sentarse	VCLIinf	sentarse
en	PREP	en
una	ART	un
mesa	NC	mesa
de	PREP	de
negociación	NC	negociación
,	CM	,
y	CC	y
tras	PREP	tras
muchos	QU	mucho
intentos	NC	intento
,	CM	,
llegaron	VLfin	llegar
a	PREP	a
un	ART	un
consenso	NC	consenso
.	FS	.
El	ART	el
26	CARD	@card@
de	PREP	de
agosto	NC	agosto
de	PREP	de
2012	CARD	@card@
se	SE	se
firmó	VLfin	firmar
el	ART	el
'	QT	'
Acuerdo	VLfin	acordar
General	NC	general
para	PREP	para
la	ART	el
Terminación	NC	terminación
del	PDEL	del
Conflicto	NC	conflicto
'	QT	'
,	CM	,
en	PREP	en
La	ART	el
Habana	NP	Habana
.	FS	.
Días	NC	día
después	ADV	después
,	CM	,
el	ART	el
4	CARD	4
de	PREP	de
septiembre	NC	septiembre
,	CM	,
el	ART	el
presidente	NC	presidente
Juan	NP	Juan
Manuel	NP	Manuel
Santos	NP	<unknown>
,	CM	,
confirmó	VLfin	confirmar
que	CQUE	que
las	ART	el
negociaciones	NC	negociación
con	PREP	con
las	ART	el
Farc	NP	<unknown>
comenzarían	VLfin	comenzar
en	PREP	en
octubre	NMON	octubre
de	PREP	de
ese	DM	ese
año	NC	año
en	PREP	en
